Topics|Strength
ES2002a=Regions|Weak 
ES2002a=Remote design wrap up|Weak 
ES2002a=Remote functionality|Weak 
ES2002b=Desired functions|Strong 
ES2002b=Target audience|Strong Incomplete 
ES2002c=LCD display|Strong Incomplete 
ES2002c=Light option|Strong Incomplete 
ES2002c=Remote shape|Weak Incomplete 
ES2002c=Technology|Weak Incomplete 
ES2002d=Jog dial use|Strong Incomplete 
ES2002d=Remote height|Strong Incomplete 
ES2002d=Remote size|Strong Incomplete 
ES2002d=Remote width|Strong Incomplete 
ES2003a=Marktpositie AB|Weak Incomplete 
ES2003a=User wishes|Weak Incomplete 
ES2003b=Joystick use|Strong Incomplete 
ES2003b=Remote purpose|Strong Incomplete 
ES2003c=Manufacturer codes|Weak Incomplete 
ES2003c=Remote design|Strong 
ES2003c=Three types of batteries|Weak Incomplete 
ES2003c=USB functionality|Weak 
ES2004a=Older generation|Strong 
ES2004b=Batteries|Strong Incomplete 
ES2004b=Combined remote|Weak Incomplete 
ES2004b=Remote design|Strong Incomplete 
ES2004b=Target audience|Strong Incomplete 
ES2004b=Touch screen|Weak Incomplete 
ES2004b=Video plus|Strong Incomplete 
ES2004c=Battery options|Strong 
ES2004c=Different fasciae|Strong 
ES2004d=Rubber remote|Strong 
ES2005b=Lost remote|Strong Incomplete 
ES2005c=LCD screen|Strong 
ES2005c=Rechargeable|Strong 
ES2005c=Remote casing|Weak 
ES2005c=Remote casings|Weak Incomplete 
ES2005c=Remote color|Strong 
ES2006b=Target audience|Strong 
ES2006b=Voice recognition|Strong 
ES2006b=Voice recognition or buttons|Strong 
ES2006c=LCD needs|Weak Incomplete 
ES2006c=Push-buttons|Strong Incomplete 
ES2006c=Scroll button|Strong Incomplete 
ES2006c=Wood|Strong Incomplete 
ES2006d=Flipping open|Weak Incomplete 
ES2007a=TV Remote|Weak 
ES2007b=Remote recognizability|Strong Incomplete 
ES2007b=Signal strength|Strong Incomplete 
ES2007b=Voice activation|Strong Incomplete 
ES2007c=Bluetooth|Strong Incomplete 
ES2007c=Remote color|Strong Incomplete 
ES2007c=Rubber remote|Strong 
ES2007c=Sample sensor|Strong 
ES2007d=Left and right handed|Strong Incomplete 
ES2008a=Remote functionality|Weak Incomplete 
ES2008a=Television only|Weak 
ES2008b=Button groups|Strong Incomplete 
ES2008b=Remote battery|Strong 
ES2008b=Target group|Weak 
ES2008c=Button pushing|Weak 
ES2008c=Chip type|Strong 
ES2008c=LCD screen|Strong Incomplete 
ES2008c=Remote case|Strong 
ES2008c=Spongy remote|Strong 
ES2008c=Supplements|Weak Incomplete 
ES2008d=Fruity notion|Strong 
ES2008d=Menu usage|Strong Incomplete 
ES2009b=Fashion into remote|Strong Incomplete 
ES2009b=One touch screen|Weak 
ES2009b=Voice recognition|Weak Incomplete 
ES2009c=Remote shape|Weak 
ES2009c=Touch screen|Strong 
ES2009c=Touch screen vs voice recognition|Strong 
ES2009d=No solar cell|Strong 
ES2009d=Remote skins|Strong 
ES2010a=Batteries|Weak Incomplete 
ES2010b=Button needs|Strong 
ES2010b=Target group|Strong 
ES2010c=Button locations|Strong 
ES2010c=Remote chip|Weak Incomplete 
ES2010c=Remote material|Strong 
ES2011b=Number of buttons|Strong 
ES2011c=Remote energy source|Strong 
ES2011c=Screen or no screen|Strong Incomplete 
ES2011d=Remote holding comfort|Strong 
ES2012a=Physical appearance|Strong 
ES2012b=Permanent battery|Strong 
ES2012c=Button or Voice Technology|Strong 
ES2012c=Interchangeable cover or a new remote every year?|Strong 
ES2012c=Slide Control or push buttons?|Strong 
ES2012c=Voice or Buttons (2)|Strong 
ES2013b=Rechargeable Battery?|Weak Incomplete 
ES2013c=Form of energy|Strong Incomplete 
ES2014b=NineButtons|Strong Incomplete 
ES2014b=Speech Recognition to find it back?|Strong Incomplete 
ES2014c=Single or double curved?|Strong 
ES2014c=Speech Recognition?|Strong Incomplete 
ES2015c=All Buttons the same colour?|Strong Incomplete 
ES2015c=Button functions|Strong Incomplete 
ES2015c=Kinetic Energy|Strong Incomplete 
ES2015c=Rubber Casings|Strong Incomplete 
ES2015c=The fruits and vegetables theme|Strong 
ES2016a=Do we go with the ball?|Strong Incomplete 
ES2016b=Do we want Speech Recognition?|Strong Incomplete 
ES2016c=Fruit design|Strong Incomplete 
ES2016c=batteries|Strong Incomplete 
IS1003c=Speech or gesture Technology|Strong Incomplete 
IS1003c=What sort of controller do we want|Weak Incomplete 
IS1003d=Name of the remote|Weak Incomplete 
IS1004b=Do we need n LCD screen?|Weak 
IS1004b=Name of the project|Strong Incomplete 
IS1004c=Coffee machine interface|Strong Incomplete 
IS1004c=Does it need to be a banana?|Strong 
IS1004c=Shape of the remote|Strong 
IS1007a=Program by content|Weak Incomplete 
IS1007b= Program information|Strong Incomplete 
IS1007b=FPGA|Weak Incomplete 
IS1007c=Buttons & Help|Weak Incomplete 
IS1007c=LCD or Big screen|Weak 
IS1007c=Speech recogniser|Weak 
IS1007d=Modules and add-ons|Strong Incomplete 
IS1007d=With or without LCD|Weak 
IS1008b=Additional features|Weak 
IS1008b=Choosing features to include|Weak 
IS1008c=Customizability|Weak 
IS1008c=Design decisions|Weak 
IS1008d=A place for the microphone|Strong Incomplete 
IS1008d=Sellin the product|Strong Incomplete 
IS1008d=Testing the product|Strong Incomplete 
IS1009a=Experience and first wishes|Weak 
IS1009a=Finding a lost remote control|Weak 
IS1009b=Remote control skin|Weak Incomplete 
IS1009b=The shape|Weak Incomplete 
IS1009c=Case|Strong 
IS1009c=Changing channels|Strong Incomplete 
IS1009c=Push or scroll buttons|Weak 
