Meeting|Topics|Speaker|Segment ID
ES2002a|ES2002a=Regions|D|422
ES2002a|ES2002a=Regions|B|166
ES2002a|ES2002a=Regions|A|41
ES2002a|ES2002a=Regions|B|168
ES2002a|ES2002a=Regions|D|423
ES2002a|ES2002a=Regions|D|425
ES2002a|ES2002a=Regions|D|427
ES2002a|ES2002a=Regions|A|43
ES2002a|ES2002a=Regions|B|170
ES2002a|ES2002a=Regions|D|429
ES2002a|ES2002a=Remote design wrap up|D|531
ES2002a|ES2002a=Remote design wrap up|B|270
ES2002a|ES2002a=Remote design wrap up|B|272
ES2002a|ES2002a=Remote design wrap up|D|533
ES2002a|ES2002a=Remote design wrap up|D|535
ES2002a|ES2002a=Remote design wrap up|A|61
ES2002a|ES2002a=Remote design wrap up|D|537
ES2002a|ES2002a=Remote design wrap up|A|62
ES2002a|ES2002a=Remote design wrap up|B|274
ES2002a|ES2002a=Remote design wrap up|D|539
ES2002a|ES2002a=Remote design wrap up|B|276
ES2002a|ES2002a=Remote design wrap up|D|541
ES2002a|ES2002a=Remote design wrap up|B|278
ES2002a|ES2002a=Remote design wrap up|A|64
ES2002a|ES2002a=Remote design wrap up|B|280
ES2002a|ES2002a=Remote design wrap up|D|543
ES2002a|ES2002a=Remote design wrap up|D|545
ES2002a|ES2002a=Remote functionality|D|470
ES2002a|ES2002a=Remote functionality|B|202
ES2002a|ES2002a=Remote functionality|B|204
ES2002a|ES2002a=Remote functionality|B|206
ES2002a|ES2002a=Remote functionality|D|472
ES2002a|ES2002a=Remote functionality|C|317
ES2002a|ES2002a=Remote functionality|A|49
ES2002a|ES2002a=Remote functionality|C|319
ES2002a|ES2002a=Remote functionality|C|321
ES2002a|ES2002a=Remote functionality|D|474
ES2002a|ES2002a=Remote functionality|D|476
ES2002a|ES2002a=Remote functionality|D|478
ES2002a|ES2002a=Remote functionality|B|208
ES2002a|ES2002a=Remote functionality|B|210
ES2002a|ES2002a=Remote functionality|D|480
ES2002a|ES2002a=Remote functionality|D|482
ES2002a|ES2002a=Remote functionality|D|484
ES2002a|ES2002a=Remote functionality|B|212
ES2002a|ES2002a=Remote functionality|D|486
ES2002a|ES2002a=Remote functionality|B|214
ES2002a|ES2002a=Remote functionality|B|216
ES2002a|ES2002a=Remote functionality|D|488
ES2002a|ES2002a=Remote functionality|D|490
ES2002a|ES2002a=Remote functionality|B|218
ES2002a|ES2002a=Remote functionality|D|492
ES2002a|ES2002a=Remote functionality|D|494
ES2002a|ES2002a=Remote functionality|B|220
ES2002a|ES2002a=Remote functionality|D|496
ES2002a|ES2002a=Remote functionality|B|222
ES2002a|ES2002a=Remote functionality|A|51
ES2002a|ES2002a=Remote functionality|B|224
ES2002a|ES2002a=Remote functionality|D|498
ES2002a|ES2002a=Remote functionality|A|53
ES2002a|ES2002a=Remote functionality|D|500
ES2002a|ES2002a=Remote functionality|D|502
ES2002a|ES2002a=Remote functionality|B|226
ES2002a|ES2002a=Remote functionality|D|504
ES2002a|ES2002a=Remote functionality|D|506
ES2002a|ES2002a=Remote functionality|A|55
ES2002a|ES2002a=Remote functionality|D|508
ES2002a|ES2002a=Remote functionality|D|510
ES2002a|ES2002a=Remote functionality|D|512
ES2002a|ES2002a=Remote functionality|B|228
ES2002a|ES2002a=Remote functionality|B|230
ES2002a|ES2002a=Remote functionality|B|232
ES2002a|ES2002a=Remote functionality|B|234
ES2002a|ES2002a=Remote functionality|B|236
ES2002a|ES2002a=Remote functionality|D|513
ES2002a|ES2002a=Remote functionality|B|238
ES2002a|ES2002a=Remote functionality|B|240
ES2002a|ES2002a=Remote functionality|D|515
ES2002a|ES2002a=Remote functionality|B|242
ES2002a|ES2002a=Remote functionality|B|244
ES2002a|ES2002a=Remote functionality|B|246
ES2002a|ES2002a=Remote functionality|B|248
ES2002a|ES2002a=Remote functionality|D|517
ES2002a|ES2002a=Remote functionality|C|323
ES2002b|ES2002b=Desired functions|C|508
ES2002b|ES2002b=Desired functions|B|172
ES2002b|ES2002b=Desired functions|B|174
ES2002b|ES2002b=Desired functions|B|176
ES2002b|ES2002b=Desired functions|C|510
ES2002b|ES2002b=Desired functions|D|596
ES2002b|ES2002b=Desired functions|D|598
ES2002b|ES2002b=Desired functions|B|178
ES2002b|ES2002b=Desired functions|D|600
ES2002b|ES2002b=Desired functions|D|602
ES2002b|ES2002b=Desired functions|D|604
ES2002b|ES2002b=Desired functions|B|179
ES2002b|ES2002b=Desired functions|D|606
ES2002b|ES2002b=Desired functions|D|608
ES2002b|ES2002b=Desired functions|D|610
ES2002b|ES2002b=Desired functions|D|611
ES2002b|ES2002b=Desired functions|B|181
ES2002b|ES2002b=Desired functions|B|183
ES2002b|ES2002b=Desired functions|C|512
ES2002b|ES2002b=Desired functions|C|514
ES2002b|ES2002b=Desired functions|B|185
ES2002b|ES2002b=Desired functions|C|516
ES2002b|ES2002b=Desired functions|B|187
ES2002b|ES2002b=Desired functions|B|189
ES2002b|ES2002b=Desired functions|D|613
ES2002b|ES2002b=Desired functions|D|615
ES2002b|ES2002b=Desired functions|C|518
ES2002b|ES2002b=Desired functions|B|191
ES2002b|ES2002b=Target audience|B|263
ES2002b|ES2002b=Target audience|D|682
ES2002b|ES2002b=Target audience|D|684
ES2002b|ES2002b=Target audience|D|686
ES2002b|ES2002b=Target audience|D|688
ES2002b|ES2002b=Target audience|B|265
ES2002b|ES2002b=Target audience|D|690
ES2002b|ES2002b=Target audience|D|692
ES2002b|ES2002b=Target audience|D|694
ES2002b|ES2002b=Target audience|D|696
ES2002b|ES2002b=Target audience|A|51
ES2002b|ES2002b=Target audience|B|267
ES2002b|ES2002b=Target audience|A|53
ES2002b|ES2002b=Target audience|B|269
ES2002b|ES2002b=Target audience|D|698
ES2002b|ES2002b=Target audience|B|271
ES2002b|ES2002b=Target audience|B|273
ES2002b|ES2002b=Target audience|B|275
ES2002b|ES2002b=Target audience|B|277
ES2002b|ES2002b=Target audience|D|700
ES2002b|ES2002b=Target audience|A|55
ES2002b|ES2002b=Target audience|B|279
ES2002b|ES2002b=Target audience|B|281
ES2002b|ES2002b=Target audience|B|283
ES2002b|ES2002b=Target audience|B|285
ES2002b|ES2002b=Target audience|A|57
ES2002b|ES2002b=Target audience|D|702
ES2002b|ES2002b=Target audience|B|287
ES2002b|ES2002b=Target audience|C|526
ES2002b|ES2002b=Target audience|B|288
ES2002b|ES2002b=Target audience|B|290
ES2002b|ES2002b=Target audience|C|528
ES2002b|ES2002b=Target audience|D|704
ES2002b|ES2002b=Target audience|D|706
ES2002b|ES2002b=Target audience|C|530
ES2002b|ES2002b=Target audience|B|292
ES2002b|ES2002b=Target audience|B|294
ES2002b|ES2002b=Target audience|D|708
ES2002b|ES2002b=Target audience|D|710
ES2002b|ES2002b=Target audience|D|711
ES2002b|ES2002b=Target audience|D|713
ES2002b|ES2002b=Target audience|D|715
ES2002b|ES2002b=Target audience|D|717
ES2002b|ES2002b=Target audience|A|59
ES2002b|ES2002b=Target audience|B|296
ES2002b|ES2002b=Target audience|D|719
ES2002b|ES2002b=Target audience|D|721
ES2002b|ES2002b=Target audience|B|298
ES2002b|ES2002b=Target audience|D|723
